"","Year","Rank","Title","Worldwide Lifetime Gross","Domestic Lifetime Gross","Domestic %","Foreign Lifetime Gross","Foreign %","tt","img","adj","rev","dec"
"25348",2012,"6,141","The Hunt","$15,886,373","$613,308","3.9%","$15,273,065","96.1%","tt2106476","https://m.media-amazon.com/images/M/MV5BMTg2NDg3ODg4NF5BMl5BanBnXkFtZTcwNzk3NTc3Nw@@._V1_QL75_UY281_CR4,0,190,281_.jpg",1.29820709842664,20623802.1968533,"2010's"
"24719",2012,"6,205","A Chorus of Angels","$15,591,719","-","-","$15,591,719","100%","tt2046110","https://m.media-amazon.com/images/M/MV5BODJkMjE3YjUtYWQ5NS00YzE5LWE0NjUtOGUyMTg1ZGUzZmQwXkEyXkFqcGdeQXVyNjYyMTYxMzk@._V1_QL75_UY281_CR6,0,190,281_.jpg",1.29820709842664,20241280.2824735,"2010's"
"26198",2012,"6,220","A Few Best Men","$15,521,362","-","-","$15,521,362","100%","tt1640711","https://m.media-amazon.com/images/M/MV5BODU0NzY2MzY4Ml5BMl5BanBnXkFtZTgwOTQzOTE3MjE@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.29820709842664,20149942.3256495,"2010's"
"25665",2012,"6,222","Immaturi - Il viaggio","$15,512,578","-","-","$15,512,578","100%","tt2174031","https://m.media-amazon.com/images/M/MV5BYWVhNTc3Y2UtYjc1YS00ODJjLWJiYzctNTc2MmNmNzg2NzA5XkEyXkFqcGdeQXVyNTc2NjMwMDk@._V1_QL75_UY281_CR6,0,190,281_.jpg",1.29820709842664,20138538.8744969,"2010's"
"25051",2012,"6,334","Nanban","$15,007,076","-","-","$15,007,076","100%","tt2180477","https://m.media-amazon.com/images/M/MV5BZDc2ZThlZWMtNTZhNC00MThkLThiMDEtNGZiNzFjZWY0MWY0XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UY281_CR5,0,190,281_.jpg",1.29820709842664,19482292.589828,"2010's"
"26092",2012,"6,405","A Royal Affair","$14,758,997","$1,546,761","10.5%","$13,212,236","89.5%","tt1276419","https://m.media-amazon.com/images/M/MV5BMTg3MDE4MTQ4NF5BMl5BanBnXkFtZTcwNDgwNDYyOA@@._V1_QL75_UX190_CR0,8,190,281_.jpg",1.29820709842664,19160234.6710574,"2010's"
"25527",2012,"6,446","Robo-G","$14,598,382","-","-","$14,598,382","100%","tt1805492","https://m.media-amazon.com/images/M/MV5BYzk1Y2FiOTQtMjhkMy00MjYzLWE4ZGUtNmEyMWYzMGY5MDRiXkEyXkFqcGdeQXVyNTA2NDg0MTc@._V1_QL75_UY281_CR4,0,190,281_.jpg",1.29820709842664,18951723.1379437,"2010's"
"25816",2012,"6,487","Nativity 2: Danger in the Manger!","$14,433,981","-","-","$14,433,981","100%","tt2089750","https://m.media-amazon.com/images/M/MV5BMTYzMDM0MzM0Ml5BMl5BanBnXkFtZTgwNjIxMTkyMTE@._V1_QL75_UY281_CR2,0,190,281_.jpg",1.29820709842664,18738296.5927552,"2010's"
"25219",2012,"6,511","Soulless","$14,370,662","-","-","$14,370,662","100%","tt1826660","https://m.media-amazon.com/images/M/MV5BZmE1NWYyMzQtMzg2OC00ZGZkLTkzOWYtMmE0MThhZTZjNzMwXkEyXkFqcGdeQXVyMTA3NTQ1NDEw._V1_QL75_UY281_CR5,0,190,281_.jpg",1.29820709842664,18656095.4174899,"2010's"
"24239",2012,"6,576","Red Lights","$14,107,313","$52,624","0.4%","$14,054,689","99.6%","tt1748179","https://m.media-amazon.com/images/M/MV5BMTQzMjYwNTc2M15BMl5BanBnXkFtZTcwMTY0Mjc4Nw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.29820709842664,18314213.8763264,"2010's"
